Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,2.76372E-5,2.141883E-4,0.002355411
5.15,2.76372E-5,1.865511E-4,0.0018510707
5.25,2.0727899E-5,1.589139E-4,0.001450459
5.35,0.0,1.3818599E-4,0.0011322418
5.45,2.0727899E-5,1.3818599E-4,8.7947294E-4
5.55,0.0,1.174581E-4,6.786915E-4
5.65,0.0,1.174581E-4,5.1920506E-4
5.75,1.38186E-5,1.174581E-4,3.9252054E-4
5.85,0.0,1.036395E-4,2.9189143E-4
5.95,0.0,1.036395E-4,2.1195889E-4
6.05,0.0,1.036395E-4,1.6705837E-4
6.15,6.9093E-6,1.036395E-4,1.3966502E-4
6.25,0.0,9.67302E-5,5.182343E-5
6.35,6.9093E-6,9.67302E-5,4.876913E-5
6.45,0.0,8.98209E-5,4.4091776E-5
6.55,0.0,8.98209E-5,3.7674316E-5
6.65,0.0,8.98209E-5,3.42911E-5
6.75,0.0,8.98209E-5,3.2662567E-5
6.85,0.0,8.98209E-5,3.0450472E-5
6.95,0.0,8.98209E-5,2.9070736E-5
7.05,6.9093E-6,8.98209E-5,2.7307258E-5
7.15,0.0,8.2911596E-5,2.450504E-5
7.25,0.0,8.2911596E-5,2.1894179E-5
7.35,0.0,8.2911596E-5,1.9210516E-5
7.45,6.9093E-6,8.2911596E-5,1.643325E-5
7.55,6.9093E-6,7.6002296E-5,1.3680238E-5
7.65,3.4546498E-5,6.9092996E-5,1.0184801E-5
7.75,1.38186E-5,3.4546498E-5,7.0578753E-6
7.85,2.0727899E-5,2.0727899E-5,4.2365573E-6
7.95,0.0,0.0,3.0023298E-6
8.05,0.0,0.0,1.9581887E-6
8.15,0.0,0.0,9.641772E-7
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
